event,episode,reward,weight,best_value,total_weight,total_value,capacity,message
message,,,,,,,,--- Training Start ---
episode,1,16.0,25,36,,,,
episode,2,24.0,23,36,,,,
episode,3,27.0,23,36,,,,
episode,4,21.0,26,41,,,,
episode,5,33.0,30,43,,,,
episode,6,15.0,9,43,,,,
episode,7,29.0,30,49,,,,
episode,8,21.0,30,49,,,,
episode,9,25.0,30,49,,,,
episode,10,13.0,30,49,,,,
episode,11,37.0,30,49,,,,
episode,12,1.0,30,49,,,,
episode,13,49.0,30,49,,,,
episode,14,37.0,30,49,,,,
episode,15,49.0,30,49,,,,
episode,16,-7.0,30,49,,,,
episode,17,29.0,30,49,,,,
episode,18,49.0,30,49,,,,
episode,19,49.0,30,49,,,,
episode,20,31.0,30,49,,,,
episode,21,49.0,30,49,,,,
episode,22,17.0,30,49,,,,
episode,23,23.0,30,49,,,,
episode,24,35.0,30,49,,,,
episode,25,23.0,30,49,,,,
episode,26,15.0,30,49,,,,
episode,27,49.0,30,49,,,,
episode,28,49.0,30,49,,,,
episode,29,26.0,30,49,,,,
episode,30,49.0,30,49,,,,
episode,31,49.0,30,49,,,,
episode,32,33.0,30,49,,,,
episode,33,49.0,30,49,,,,
episode,34,41.0,30,49,,,,
episode,35,13.0,30,49,,,,
episode,36,27.0,30,49,,,,
episode,37,49.0,30,49,,,,
episode,38,29.0,30,49,,,,
episode,39,37.0,30,49,,,,
episode,40,20.0,30,49,,,,
episode,41,49.0,30,49,,,,
episode,42,49.0,30,49,,,,
episode,43,39.0,30,49,,,,
episode,44,49.0,30,49,,,,
episode,45,24.0,30,49,,,,
episode,46,39.0,30,49,,,,
episode,47,49.0,30,49,,,,
episode,48,37.0,30,49,,,,
episode,49,49.0,30,49,,,,
episode,50,35.0,30,49,,,,
episode,51,15.0,30,49,,,,
episode,52,35.0,30,49,,,,
episode,53,39.0,30,49,,,,
episode,54,39.0,30,49,,,,
episode,55,38.0,30,49,,,,
episode,56,39.0,30,49,,,,
episode,57,45.0,30,49,,,,
episode,58,21.0,30,49,,,,
episode,59,39.0,30,49,,,,
episode,60,39.0,30,49,,,,
episode,61,39.0,30,49,,,,
episode,62,49.0,30,49,,,,
episode,63,25.0,30,49,,,,
episode,64,41.0,30,49,,,,
episode,65,49.0,30,49,,,,
episode,66,28.0,30,49,,,,
episode,67,39.0,30,49,,,,
episode,68,19.0,30,49,,,,
episode,69,49.0,30,49,,,,
episode,70,31.0,30,49,,,,
episode,71,49.0,30,49,,,,
episode,72,13.0,30,49,,,,
episode,73,29.0,30,49,,,,
episode,74,35.0,30,49,,,,
episode,75,39.0,30,49,,,,
episode,76,49.0,30,49,,,,
episode,77,49.0,30,49,,,,
episode,78,49.0,30,49,,,,
episode,79,49.0,30,49,,,,
episode,80,49.0,30,49,,,,
episode,81,21.0,30,49,,,,
episode,82,49.0,30,49,,,,
episode,83,49.0,30,49,,,,
episode,84,23.0,30,49,,,,
episode,85,29.0,30,49,,,,
episode,86,49.0,30,49,,,,
episode,87,49.0,30,49,,,,
episode,88,35.0,30,49,,,,
episode,89,45.0,30,49,,,,
episode,90,22.0,30,49,,,,
episode,91,39.0,30,49,,,,
episode,92,27.0,30,49,,,,
episode,93,38.0,30,49,,,,
episode,94,32.0,30,49,,,,
episode,95,49.0,30,49,,,,
episode,96,24.0,30,49,,,,
episode,97,24.0,30,49,,,,
episode,98,43.0,30,49,,,,
episode,99,41.0,30,49,,,,
episode,100,49.0,30,49,,,,
episode,101,41.0,30,49,,,,
episode,102,41.0,30,49,,,,
episode,103,35.0,30,49,,,,
episode,104,29.0,30,49,,,,
episode,105,37.0,30,49,,,,
episode,106,34.0,30,49,,,,
episode,107,42.0,30,49,,,,
episode,108,41.0,30,49,,,,
episode,109,41.0,30,49,,,,
episode,110,38.0,30,49,,,,
episode,111,49.0,30,49,,,,
episode,112,21.0,30,49,,,,
episode,113,16.0,30,49,,,,
episode,114,49.0,30,49,,,,
episode,115,49.0,30,49,,,,
episode,116,31.0,30,49,,,,
episode,117,33.0,30,49,,,,
episode,118,49.0,30,49,,,,
episode,119,35.0,30,49,,,,
episode,120,49.0,30,49,,,,
episode,121,49.0,30,49,,,,
episode,122,33.0,30,49,,,,
episode,123,34.0,30,49,,,,
episode,124,32.0,30,49,,,,
episode,125,35.0,30,49,,,,
episode,126,39.0,30,49,,,,
episode,127,49.0,30,49,,,,
episode,128,41.0,30,49,,,,
episode,129,49.0,30,49,,,,
episode,130,49.0,30,49,,,,
episode,131,42.0,30,49,,,,
episode,132,49.0,30,49,,,,
episode,133,39.0,30,49,,,,
episode,134,49.0,30,49,,,,
episode,135,45.0,30,49,,,,
episode,136,41.0,30,49,,,,
episode,137,37.0,30,49,,,,
episode,138,49.0,30,49,,,,
episode,139,23.0,30,49,,,,
episode,140,33.0,30,49,,,,
episode,141,49.0,30,49,,,,
episode,142,26.0,30,49,,,,
episode,143,25.0,30,49,,,,
episode,144,33.0,30,49,,,,
episode,145,49.0,30,49,,,,
episode,146,33.0,30,49,,,,
episode,147,49.0,30,49,,,,
episode,148,33.0,30,49,,,,
episode,149,49.0,30,49,,,,
episode,150,49.0,30,49,,,,
episode,151,49.0,30,49,,,,
episode,152,33.0,30,49,,,,
episode,153,41.0,30,49,,,,
episode,154,45.0,30,49,,,,
episode,155,36.0,30,49,,,,
episode,156,42.0,30,49,,,,
episode,157,45.0,30,49,,,,
episode,158,23.0,30,49,,,,
episode,159,41.0,30,49,,,,
episode,160,41.0,30,49,,,,
episode,161,13.0,30,49,,,,
episode,162,17.0,30,49,,,,
episode,163,37.0,30,49,,,,
episode,164,49.0,30,49,,,,
episode,165,49.0,30,49,,,,
episode,166,49.0,30,49,,,,
episode,167,41.0,30,49,,,,
episode,168,49.0,30,49,,,,
episode,169,49.0,30,49,,,,
episode,170,32.0,30,49,,,,
episode,171,49.0,30,49,,,,
episode,172,49.0,30,49,,,,
episode,173,13.0,30,49,,,,
episode,174,39.0,30,49,,,,
episode,175,45.0,30,49,,,,
episode,176,33.0,30,49,,,,
episode,177,29.0,30,49,,,,
episode,178,49.0,30,49,,,,
episode,179,25.0,30,49,,,,
episode,180,49.0,30,49,,,,
episode,181,25.0,30,49,,,,
episode,182,49.0,30,49,,,,
